nombre,valor
"MONITOR TV 65"" 4K U UH SAMSUNG (LAB6590)",1500000
FUENTE 12V 8 A GABINETE 100W (LAB6134),47000
CONTADORA DE BILLETE GFS-120S GL (REE0009),2854632
CONTADORA DE BILLETE GFS-220-CS (REE0010),2854632
"MONITOR 55"" INTERBLOCK S55WLL-N (LAB6478)",10740000
"MONITOR 43"" CURVO NOVOM PANTH (LAB6486)",4650000
MICROONDAS GASTROMIA (REE0011),250000
HORNO ELECTRICO GASTRONOMIA (REE0012),160000
TOSTADORA ELECTRICA GASTRONOMIA (REE0013),80000
"MONITOR 32"" SAMSUNG (REE0014)",502000
IMPRESORA TERMICA BARRERA (REE0015),637000
PROYECTOR SIMULADOR EGA (REE0017),2000000
COMPRESOR ACOSTA (REE0003),634300
FUENTE MONITOR 24V 3A (LAB0425),44000
PCB CARGADOR INALAMBRICO IGT (LAB6511),0
PCB ARUZE AX-GMEM (LAB6600),487500
HANDY MOTOROLA DEP 450 (REE0019),1150000
"TV LCD 32"" (LAB1142)",0
IMPRESORA EPSON MODEL M532A (REE0020),220000
"MONITOR 18.5"" RULETA GOLDEN BALL (LAB5826)",1590400
PCB CONTROL IDECK IGT AXX/CRYS (LAB5880),0
PCB GPU VIDEO CART KONAMI CONC (LAB4269),0
SWITCH 24 BOCAS ONLINE (LAB1051),0
CARGADOR HANDY C/FUENTE KENWOOD (REE0021),0
FUENTE HANDY UEL-650L 12V 1A (REE0022),0
BACKPLANE AINSWORTH A640 (LAB6619),525000
PCB CONTR TOUCH NP DIGITEC IGT (LAB0731),0
NOTEBOOK SISTEMAS (REE0023),1200000
PCB CONTROL BEZEL SG J43 (LAB6649),0
TECLADO IDECK IGT AXXIS 23 (LAB3391),0
CONTROLADOR PROGRESIVO ARUZE (LAB6690),2300000
MONITOR 32 SUP W.G ZITRO (LAB4152),0
PLACA DE VIDEO GFORCE 7600SG PRO (LAB6709),0
PCB RULETA CONVERSION I/O 3 (LAB0786),0
PCB AMBIENT LED WS INTERBLOCK (LAB6710),0
MONITOR TOPPER 27 IGT PEAK SLAM (LAB6712),0
PCB VIDEO ZOTAC GF GTX 1050 4G (LAB4154),150000
MINI PC LIVA Z IDECK ARUZE MUSO (LAB6726),0
"TV  43"" TCL (LAB6047)",0
,0
,0
,0
,0
,0
,0
,0
